Source_ID,RA(J2000),DEC(J2000),Source_Type,F100,e_F100,F131.25,e_F131.25,F143.75,e_F143.75,F156.25,e_F156.25,F168.75,e_F168.75,Spectral_Index,e_Spectral_Index
21CMA-DDR1-J054936+850055,05:49:36.23,+85:00:54.8,P,0.1466118913673323,0.0263188160085555,0.1583127309984011,0.0275937065266041,0.1250647737564337,0.0277539810492493,0.0963451862300584,0.0252474401839605,0.0906879489227389,0.0272767673797289,-0.7898672331357235,0.5278663661324848
21CMA-DDR1-J061354+850341,06:13:54.37,+85:03:40.7,P,0.1098119428387659,0.0256563287196682,0.1195787463326656,0.0238576063200038,0.1045235275085582,0.0184411734551968,0.0693441226405337,0.016435158113011,0.0800398359426392,0.0218780006764084,-0.7592851577070729,0.5949632397506449
21CMA-DDR1-J045156+850107,04:51:56.20,+85:01:06.5,P,0.2934263501936324,0.0210213994127319,0.2237130567316301,0.0149518748517353,0.188284173540647,0.015168498793522,0.1698552397389437,0.0280237631034279,0.1801523639242013,0.0327026364132453,-1.1175504702318768,0.2373907841091322
21CMA-DDR1-J051353+850826,05:13:53.42,+85:08:26.4,P,0.0606425575976199,0.0165472254288298,0.0709624552403474,0.0164165599588918,0.071533930696473,0.0168243138461369,0.0702272146447234,0.018757845569801,0.0738336997192229,0.0234844080472082,0.3503305266234345,0.6936941045478278
21CMA-DDR1-J064846+851615,06:48:45.98,+85:16:15.1,P,0.0878959691039571,0.0195185983294242,0.0866713748321608,0.020303078607294,0.0836501118671346,0.0168344399262553,0.0809064628792233,0.0209360642855391,0.0926841210337428,0.0193905289193482,0.0159056083153911,0.5467194264057699
21CMA-DDR1-J060200+852449,06:01:59.52,+85:24:49.4,P,,,,,0.0423804501244841,0.0113680544873361,0.0424071560309616,0.0138798409143312,0.0460579110174406,0.0138025400406789,0.4971022110006611,2.5005633732096624
21CMA-DDR1-J070033+851509,07:00:32.91,+85:15:08.6,P,0.1025705837770025,0.019128757073003,0.105203641662982,0.0177459122547297,0.0946290693012988,0.0197404682192158,0.0838556415311711,0.0200591366941338,0.1045930852638628,0.0253141508934957,-0.164820548536144,0.5060772395705706
21CMA-DDR1-J052233+852150,05:22:33.09,+85:21:50.4,P,0.0598259569676154,0.0181721470161125,0.0616550638583499,0.0142493703843498,0.0568912497785701,0.0143542121849271,,,0.0614786901289598,0.0168085723690184,0.0089586833065833,0.7628391782169491
21CMA-DDR1-J054506+852550,05:45:06.46,+85:25:50.4,P,0.093833883993127,0.0188395629470298,0.0925575834868669,0.018308456311017,0.0804872592699954,0.0101997591062753,0.0920586120263376,0.018246909332661,0.1036054896536258,0.018493947904834,0.0712251594868637,0.4789294206613875
21CMA-DDR1-J070302+851551,07:03:01.79,+85:15:51.3,P,0.3467410633955342,0.0205468712878295,0.2011060025958006,0.0168387379570337,0.1735512700910782,0.0209808429871743,0.1229681966733558,0.0218538958148017,0.162731424222879,0.0270585669987129,-1.8506836978722605,0.2282921712744905
